AttackName,Damage,DamageType,Properties,Conditions
Club,1d4,bludgeoning,SM Light,
Dagger,1d4,piercing,SM Finesse light,
Greatclub,1d8,bludgeoning,SM Two-handed,
Handaxe,1d6,slashing,SM Light,
Javelin,1d6,piercing,SM,
Light hammer,1d4,bludgeoning,SM Light,
Mace,1d6,bludgeoning,SM,
Quarterstaff,1d6,bludgeoning,SM Versatile(1d8),
Sickle,1d4,slashing,SM Light,
Spear,1d6,piercing,SM Versatile(1d8),
Unarmed strike,1,bludgeoning,,
Light crossbow,1d8,piercing,SR Loading Two-handed,
Dart,1d4,piercing,SR Finesse,
Shortbow,1d6,piercing,SR Two-handed,
Sling,1d4,bludgeoning,SR,
Battleaxe,1d8,slashing,MM,
Flail,1d8,bludgeoning,MM,
Glaive,1d10,slashing,MM,
Greataxe,1d12,slashing,MM,
Greatsword,2d6,slashing,MM,
Halberd,1d10,slashing,MM,
Lance,1d12,piercing,MM Special,
Longsword,1d8,slashing,MM Versatile(1d10),
Maul,2d6,bludgeoning,MM,
Morningstar,1d8,piercing,MM,
Pike,1d10,piercing,MM,
Rapier,1d8,piercing,MM Finesse,
Scimitar,1d6,slashing,MM Finesse Light,
Shortsword,1d6,piercing,MM Finesse Light,
Trident,1d6,piercing,MM Versatile(1d8),
War pick,1d8,piercing,MM,
Warhammer,1d8,bludgeoning,MM Versatile(1d10),
Whip,1d4,slashing,MM Finesse,
Blowgun,1,piercing,MR,
Hand crossbow,1d6,piercing,MR Light,
Heavy crossbow,1d10,piercing,MR,
Longbow,1d8,piercing,MR,
Net,,,MR Special,
Grapple,,,Light Special,
Sneak attack,,,SecondaryAttack Special,
Bite,3d10,piercing,SM,
Claw,2d6,slashing,SM,
